group,Welfare,Public services
16,3346.869814,8229.16301
17,3307.103532,7263.118825
18,3220.833343,6197.322064
19,2761.18436,5032.449823
20,2216.746377,3855.052009
21,1690.58444,3399.005305
22,1270.163371,3021.831912
23,883.686998,2709.218376
24,872.338573,2503.723023
25,941.759725,2320.042028
26,1004.303039,2198.908008
27,1088.910902,2144.156005
28,1190.362695,2120.337143
29,1283.018075,2109.71461
30,1340.397674,2105.947874
31,1390.418947,2111.073638
32,1414.99141,2117.782166
33,1437.245868,2122.084744
34,1463.01067,2121.575164
35,1486.0593,2127.575886
36,1538.352249,2126.224852
37,1578.644406,2118.006385
38,1607.631714,2101.586584
39,1646.331936,2078.999755
40,1658.068639,2036.979341
41,1647.867287,1985.811158
42,1614.662254,1926.08414
43,1602.945772,1857.512425
44,1587.893225,1783.311567
45,1643.511488,1961.729856
46,1675.800708,2197.147785
47,1741.888066,2446.673822
48,1815.244974,2711.906996
49,1835.496438,2992.172548
50,1816.81516,3031.42983
51,1844.948555,3026.860797
52,1866.31974,3022.692063
53,1849.167488,3020.906016
54,1884.838452,3019.799681
55,1906.358499,3052.971854
56,1916.984851,3086.796486
57,1903.922245,3121.979848
58,1911.369424,3156.013919
59,1884.47473,3190.076238
60,1882.858807,3191.882708
61,1879.628742,3193.59936
62,1909.361402,3195.752354
63,1968.680961,3199.295156
64,2049.78054,3203.176524
65,2111.685126,3576.553879
66,2926.108249,3950.940333
67,4935.931783,4324.867613
68,6890.685409,4699.040615
69,8892.528537,5073.729856
70,10829.22302,5135.937788
71,11961.15278,5200.007084
72,11838.51013,5267.313258
73,11687.61037,5339.089751
74,11463.50986,5416.875006
75,11488.74108,5947.299075
76,11571.084,6486.141695
77,11770.19875,7034.252022
78,12050.0824,7591.988679
79,12493.07602,8159.067638
80,12788.76678,8503.850716
81,12886.84605,8853.640622
82,13034.75752,9204.384654
83,13254.1789,9551.766817
84,13469.07963,9891.907644
85,13646.08227,11446.05325
86,13998.12976,12989.06817
87,14352.35212,14521.19248
88,14634.81224,16043.45136
89,14936.11651,17557.28861
90,15214.23063,17568.77666
91,15531.27133,17575.00035
92,15749.06666,17577.37475
93,15929.22612,17577.10502
94,15939.92686,17575.16217
95,15977.71976,17572.28495
96,16082.43674,17568.99812
97,16348.49595,17565.63952
98,16702.65921,17562.39097
99,17144.92297,17558.96457
100,17594.92136,17555.28846
101+,17932.50973,17551.80347