Age group,Welfare,Public services,Tax
16,3346.869814,8229.16301,884.108059
17,3307.103532,7263.118825,1490.856927
18,3220.833343,6197.322064,2463.268062
19,2761.18436,5032.449823,3799.952558
20,2216.746377,3855.052009,5333.528953
21,1690.58444,3399.005305,6805.71123
22,1270.163371,3021.831912,8357.400389
23,883.686998,2709.218376,9878.056204
24,872.338573,2503.723023,11266.03725
25,941.759725,2320.042028,12673.69376
26,1004.303039,2198.908008,14020.34545
27,1088.910902,2144.156005,15317.23982
28,1190.362695,2120.337143,16362.93193
29,1283.018075,2109.71461,17356.02698
30,1340.397674,2105.947874,18198.44174
31,1390.418947,2111.073638,18996.65437
32,1414.99141,2117.782166,19668.03528
33,1437.245868,2122.084744,20286.58275
34,1463.01067,2121.575164,20884.0133
35,1486.0593,2127.575886,21520.59543
36,1538.352249,2126.224852,21906.74552
37,1578.644406,2118.006385,22371.02932
38,1607.631714,2101.586584,22824.1999
39,1646.331936,2078.999755,23185.29862
40,1658.068639,2036.979341,23349.437
41,1647.867287,1985.811158,23713.01367
42,1614.662254,1926.08414,23907.09922
43,1602.945772,1857.512425,24172.67211
44,1587.893225,1783.311567,24269.70727
45,1643.511488,1961.729856,24466.10523
46,1675.800708,2197.147785,24492.63278
47,1741.888066,2446.673822,24354.13709
48,1815.244974,2711.906996,24233.56398
49,1835.496438,2992.172548,24031.90225
50,1816.81516,3031.42983,23687.24569
51,1844.948555,3026.860797,23192.70932
52,1866.31974,3022.692063,22905.20522
53,1849.167488,3020.906016,22384.25216
54,1884.838452,3019.799681,21845.73683
55,1906.358499,3052.971854,21226.52066
56,1916.984851,3086.796486,20679.73745
57,1903.922245,3121.979848,19864.00887
58,1911.369424,3156.013919,18905.43361
59,1884.47473,3190.076238,18168.75904
60,1882.858807,3191.882708,17184.50114
61,1879.628742,3193.59936,16156.16852
62,1909.361402,3195.752354,15088.24193
63,1968.680961,3199.295156,14145.47447
64,2049.78054,3203.176524,12938.88951
65,2111.685126,3576.553879,11995.86125
66,2926.108249,3950.940333,11129.37911
67,4935.931783,4324.867613,10485.33778
68,6890.685409,4699.040615,9838.861215
69,8892.528537,5073.729856,9364.682447
70,10829.22302,5135.937788,8998.226769
71,11961.15278,5200.007084,8657.37836
72,11838.51013,5267.313258,8338.340781
73,11687.61037,5339.089751,8116.207569
74,11463.50986,5416.875006,7881.109493
75,11488.74108,5947.299075,7660.845664
76,11571.084,6486.141695,7441.486455
77,11770.19875,7034.252022,7176.274116
78,12050.0824,7591.988679,6940.886703
79,12493.07602,8159.067638,6745.304622
80,12788.76678,8503.850716,6541.992623
81,12886.84605,8853.640622,6335.981752
82,13034.75752,9204.384654,6145.099233
83,13254.1789,9551.766817,5940.667991
84,13469.07963,9891.907644,5697.412743
85,13646.08227,11446.05325,5490.796244
86,13998.12976,12989.06817,5337.976626
87,14352.35212,14521.19248,5179.71446
88,14634.81224,16043.45136,5001.484206
89,14936.11651,17557.28861,4882.63853
90,15214.23063,17568.77666,4719.082522
91,15531.27133,17575.00035,4489.509966
92,15749.06666,17577.37475,4318.420894
93,15929.22612,17577.10502,4177.971495
94,15939.92686,17575.16217,4065.505884
95,15977.71976,17572.28495,4002.755534
96,16082.43674,17568.99812,4055.00124
97,16348.49595,17565.63952,3968.233104
98,16702.65921,17562.39097,4091.905935
99,17144.92297,17558.96457,3879.605833
100,17594.92136,17555.28846,3622.36513
101+,17932.50973,17551.80347,3143.27646